2024-12-23 02:25:06,275 || root || INFO || yo
2024-12-23 02:25:06,275 || root || WARNING || yoo
2024-12-23 02:25:06,275 || root || ERROR || yooo
2024-12-23 02:25:06,275 || root || CRITICAL || yoooo
2024-12-23 02:25:06,770 || root || INFO || yo
2024-12-23 02:25:06,770 || root || WARNING || yoo
2024-12-23 02:25:06,770 || root || ERROR || yooo
2024-12-23 02:25:06,770 || root || CRITICAL || yoooo
2024-12-23 02:25:07,425 || root || INFO || yo
2024-12-23 02:25:07,425 || root || WARNING || yoo
2024-12-23 02:25:07,425 || root || ERROR || yooo
2024-12-23 02:25:07,425 || root || CRITICAL || yoooo
2024-12-23 02:25:07,931 || root || INFO || yo
2024-12-23 02:25:07,931 || root || WARNING || yoo
2024-12-23 02:25:07,931 || root || ERROR || yooo
2024-12-23 02:25:07,932 || root || CRITICAL || yoooo
2024-12-23 02:25:08,421 || root || INFO || yo
2024-12-23 02:25:08,421 || root || WARNING || yoo
2024-12-23 02:25:08,421 || root || ERROR || yooo
2024-12-23 02:25:08,421 || root || CRITICAL || yoooo
2024-12-23 02:25:09,126 || root || INFO || yo
2024-12-23 02:25:09,126 || root || WARNING || yoo
2024-12-23 02:25:09,126 || root || ERROR || yooo
2024-12-23 02:25:09,126 || root || CRITICAL || yoooo
2024-12-23 02:25:09,786 || root || INFO || yo
2024-12-23 02:25:09,786 || root || WARNING || yoo
2024-12-23 02:25:09,787 || root || ERROR || yooo
2024-12-23 02:25:09,787 || root || CRITICAL || yoooo
2024-12-23 02:25:10,592 || root || INFO || yo
2024-12-23 02:25:10,592 || root || WARNING || yoo
2024-12-23 02:25:10,592 || root || ERROR || yooo
2024-12-23 02:25:10,592 || root || CRITICAL || yoooo
2024-12-23 02:25:11,359 || root || INFO || yo
2024-12-23 02:25:11,359 || root || WARNING || yoo
2024-12-23 02:25:11,359 || root || ERROR || yooo
2024-12-23 02:25:11,359 || root || CRITICAL || yoooo
2024-12-23 02:25:11,885 || root || INFO || yo
2024-12-23 02:25:11,885 || root || WARNING || yoo
2024-12-23 02:25:11,885 || root || ERROR || yooo
2024-12-23 02:25:11,885 || root || CRITICAL || yoooo
2024-12-23 02:25:12,460 || root || INFO || yo
2024-12-23 02:25:12,460 || root || WARNING || yoo
2024-12-23 02:25:12,460 || root || ERROR || yooo
2024-12-23 02:25:12,460 || root || CRITICAL || yoooo
2024-12-23 02:25:13,029 || root || INFO || yo
2024-12-23 02:25:13,029 || root || WARNING || yoo
2024-12-23 02:25:13,029 || root || ERROR || yooo
2024-12-23 02:25:13,029 || root || CRITICAL || yoooo
2024-12-23 02:25:24,826 || root || INFO || yo
2024-12-23 02:25:24,826 || root || WARNING || yoo
2024-12-23 02:25:24,826 || root || ERROR || yooo
2024-12-23 02:25:24,826 || root || CRITICAL || yoooo
2024-12-23 02:25:25,646 || root || INFO || yo
2024-12-23 02:25:25,646 || root || WARNING || yoo
2024-12-23 02:25:25,646 || root || ERROR || yooo
2024-12-23 02:25:25,646 || root || CRITICAL || yoooo
